file,toeic,proficiency,qType,quest_label,quest_tstart,quest_tend,quest_tmid,visual,vegetative,vocal_start,vocal_end,vocal_label,combined,verbal,viable
J5-040,305,Beginner,Polar,10,8173,9792,8982,10570,,,,,11446,,11446
J5-040,305,Beginner,Open,20,31040,33398,32219,,,,,,34219,34219,36481
J5-040,305,Beginner,Polar,30,88836,91200,90018,91694,,,,,91768,,91768
J5-040,305,Beginner,Open,50,133855,137843,135849,138721,,,,,139022,139022,
J5-044,360,Beginner,Polar,10,7825,9221,8523,9510,,9971,10486,mmm,11735,,11735
J5-044,360,Beginner,Open,20,38064,41264,39664,41676,,42645,43957,mmm,45397,,45397
J5-044,360,Beginner,Polar,30,80353,82896,81624,83920,,,,,85194,,85194
J5-044,360,Beginner,Open,50,144566,148490,146528,150603,,151818,152447,,153919,153919,
J5-055,349,Beginner,Polar,10,7467,9053,8260,9531,,10050,10493,mmm,10493,,10493
J5-055,349,Beginner,Open,20,18757,21628,20192,,22068,22700,23631,mmm,24555,,24555
J5-055,349,Beginner,Polar,30,57259,59582,58420,60128,,,,,60643,,60643
J5-055,349,Beginner,Open,50,88852,92697,90774,93167,,93699,94429,mmm,94463,94463,96500
J5-057,336,Beginner,Polar,10,7802,9479,8640,9381,,,,,9913,,9913
J5-057,336,Beginner,Open,20,29168,31911,30539,,,32768,,,33071,33071,34170
J5-057,336,Beginner,Polar,30,55566,58072,56819,,58594,,,,59007,,59007
J5-057,336,Beginner,Open,50,100773,104435,102604,,104524,105540,106163,mmm,106429,106429,117619
J5-086,295,Beginner,Polar,10,8622,10401,9511,,,10711,11660,uhmm,11660,11660,12670
J5-086,295,Beginner,Open,20,50670,53215,51942,,,53632,54050,ahmm,55071,,55071
J5-086,295,Beginner,Polar,30,65911,68359,67135,68063,68375,68826,69359,aaah,70115,70115,
J5-086,295,Beginner,Open,50,152825,156562,154693,156348,,156927,157629,aaahmm,157751,157751,168716
J5-091,378,Beginner,Polar,10,9817,11719,10768,12068,12565,,,,13505,,35786
J5-091,378,Beginner,Open,20,35786,38927,37356,,,,,,39312,39312,41798
J5-091,378,Beginner,Polar,30,89086,91544,90315,91129,,,,,91401,,91401
J5-091,378,Beginner,Open,50,129406,133567,131486,134022,,134627,135409,mmm,135456,135456,137840
J5-092,266,Beginner,Polar,10,8536,10155,9345,10439,,,,,10603,,10603
J5-092,266,Beginner,Open,20,23861,26734,25297,25728,,27113,28097,mmm,28522,,28522
J5-092,266,Beginner,Polar,30,57604,60189,58896,60388,,,,,60548,,60548
J5-092,266,Beginner,Open,50,99514,103954,101734,,,104400,105437,mmm,107361,107361,108978
